title,artist,weeks,peak_rank,date
Cry Me A River,Janice Harper,3.0,91.0,1960-01-13
Crying,Roy Orbison,2.0,49.0,1961-07-19
Cupid,Sam Cooke,12.0,27.0,1961-05-31
Daddy's Home,Shep And The Limelites,14.0,2.0,1961-03-22
Dance By The Light Of The Moon,The Olympics,11.0,47.0,1960-11-30
Dance Everyone Dance,Betty Madigan,9.0,34.0,1958-08-13
Dance On Little Girl,Paul Anka,8.0,10.0,1961-05-24
Dance With Me,The Drifters,15.0,15.0,1959-10-07
Dance With Me Georgie,The Bobbettes,1.0,95.0,1960-10-19
Danny Boy,Sil Austin,18.0,10.0,1959-09-23
Darling Lorraine,The Knockouts,11.0,46.0,1959-12-23
"Darling, I Love You",Al Martino,6.0,63.0,1959-09-23
Daydreams,Johnny Crawford,4.0,70.0,1961-06-07
Dear John,Pat Boone,8.0,44.0,1960-10-19
Deck Of Cards,Wink Martindale,17.0,7.0,1959-09-09
Dedicated To The One I Love,The Shirelles,20.0,3.0,1959-07-08
Delaware,Perry Como,11.0,22.0,1960-02-03
Delia Gone,Pat Boone,3.0,66.0,1960-08-17
Delicious!,Jim Backus & Friend,2.0,66.0,1958-01-01
Devil Or Angel,Bobby Vee,19.0,6.0,1960-07-27
Devoted To You,The Everly Brothers,14.0,10.0,1958-08-06
Devotion,Janice Harper,3.0,82.0,1958-08-13
Diamond Ring,Jerry Wallace,4.0,78.0,1958-12-03
Diamonds And Pearls,The Paradons,16.0,18.0,1960-08-17
Ding-A-Ling,Bobby Rydell,11.0,18.0,1960-05-04
Do You Mind?,Andy Williams,7.0,70.0,1960-06-29
Do You Want To Dance,Bobby Freeman,5.0,20.0,1958-01-01
Do-Re-Mi,Mitch Miller,4.0,70.0,1959-12-23
Does Your Chewing Gum Lose It's Flavor (On The Bedpost Over Night),Lonnie Donegan And His Skiffle Group,3.0,26.0,1961-07-19
Doggin' Around,Jackie Wilson,16.0,15.0,1960-03-30
Doll House,Donnie Brooks,10.0,31.0,1960-11-23
Don't Ask Me Why,Elvis Presley With The Jordanaires,5.0,34.0,1958-01-01
Don't Be Cruel,Bill Black's Combo,13.0,11.0,1960-09-07
"Don't Believe Him, Donna",Lenny Miles,7.0,41.0,1960-12-28
Don't Bet Money Honey,Linda Scott,8.0,11.0,1961-06-28
Don't Come Knockin',Fats Domino,11.0,21.0,1960-06-22
Don't Cry No More,Bobby Bland,3.0,79.0,1961-07-19
"Don't Cry, Baby",Etta James,3.0,45.0,1961-07-19
Don't Deceive Me,Ruth Brown,8.0,62.0,1960-03-09
Don't Destroy Me,Crash Craddock,1.0,94.0,1959-11-04
Don't Fence Me In,Tommy Edwards,8.0,45.0,1960-02-17
Don't Forget I Love You,The Butanes,2.0,98.0,1961-07-19
Don't Go Home,The Playmates,2.0,70.0,1958-01-01
Don't Go To Strangers,Etta Jones,7.0,36.0,1960-11-02
Don't Let Him Shop Around,Debbie Dean,2.0,92.0,1961-02-01
Don't Let Love Pass Me By,Frankie Avalon,2.0,85.0,1960-10-05
Don't Let The Sun Catch You Cryin',Ray Charles,2.0,95.0,1960-02-03
Don't Pity Me,Dion & The Belmonts,12.0,40.0,1958-12-17
Don't Read The Letter,Patti Page,4.0,65.0,1960-12-28
Don't Take The Stars,The Mystics,2.0,98.0,1959-10-14
Don't Take Your Guns To Town,Johnny Cash,12.0,32.0,1959-01-14
Don't Tell Me Your Troubles,Don Gibson,3.0,85.0,1959-08-05
Don't Throw Away All Those Teardrops,Frankie Avalon,10.0,22.0,1960-03-09
Don't Worry,Marty Robbins,15.0,3.0,1961-01-25
Don't You Know,Della Reese,18.0,2.0,1959-09-16
Don't You Know Yockomo,"Huey ""piano"" Smith With His Clowns",6.0,56.0,1958-12-03
Donald Where's Your Troosers?,Andy Stewart,1.0,100.0,1961-07-19
Donna,Ritchie Valens,23.0,2.0,1958-11-19
Dooley,The Olympics,1.0,94.0,1961-06-14
Down By The Riverside,Les Compagnons De La Chanson,8.0,60.0,1960-03-02
Down By The Station,The Four Preps,15.0,13.0,1959-12-23
Down In Virginia,Jimmy Reed,2.0,93.0,1958-08-06
Down The Aisle,Ike Clanton,2.0,91.0,1960-05-18
Down The Aisle Of Love,The Quin-Tones,12.0,20.0,1958-08-13
Down The Street To 301,Johnny Cash And The Tennessee Two,3.0,85.0,1960-07-06
Down Yonder,Johnny And The Hurricanes,9.0,48.0,1960-05-25
Dream,Etta James,3.0,55.0,1961-06-21
Dream Boy,Annette With The Afterbeats,2.0,87.0,1961-02-15
Dream Lover,Bobby Darin,17.0,2.0,1959-04-15
Dreamin',Johnny Burnette,15.0,11.0,1960-07-20
Dreamy Eyes,Johnny Tillotson,9.0,63.0,1958-10-29
Drip Drop,The Drifters,2.0,58.0,1958-08-06
Drivin' Home,Duane Eddy And The Rebels,1.0,99.0,1961-07-12
Driving Wheel,Junior Parker,2.0,85.0,1961-05-17
Dum Dum,Brenda Lee,10.0,8.0,1961-06-14
Dutchman's Gold,Walter Brennan With Billy Vaughn and his Orchestra,12.0,30.0,1960-04-20
Early Every Morning (Early Every Evening Too),Dinah Washington,1.0,95.0,1961-03-08
Early In The Morning,Buddy Holly,9.0,24.0,1958-01-01
Earth Angel,Johnny Tillotson,7.0,57.0,1960-04-06
Easy Lovin',Wade Flemons,4.0,70.0,1960-04-20
Ebb Tide,Bobby Freeman,6.0,56.0,1959-12-09
Ebony Eyes,The Everly Brothers,12.0,8.0,1961-01-25
El Matador,The Kingston Trio,11.0,32.0,1960-02-17
El Paso,Marty Robbins,22.0,1.0,1959-11-04
Emotions,Brenda Lee,12.0,7.0,1960-12-28
Enchanted,The Platters,15.0,12.0,1959-03-18
Enchanted Island,The Four Lads,7.0,29.0,1958-01-01
Endless Sleep,Jody Reynolds,6.0,17.0,1958-01-01
Endlessly,Brook Benton,13.0,12.0,1959-04-15
Eternally,Thomas Wayne With the Delons,8.0,41.0,1959-05-06
Evening Rain,Earl Grant,7.0,63.0,1959-01-21
Eventually,Brenda Lee,3.0,56.0,1961-06-28
Everglades,The Kingston Trio,5.0,60.0,1960-10-05
