title,title_spotify,artist,album,colab,id,release_date,peak_rank,peak_date,peak_year,lustrum,weeks,sp_popularity,tempo,duration,key,mode,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,before_1964,release_year
Flaming Star,The Yellow Rose of Texas / The Eyes of Texas,Elvis Presley With The Jordanaires,Elvis Sings Flaming Star,N,5y0PXkDyefSKQauonvsB4O,1968-10-01,14.0,1961-04-12,1961,1960-1964,7.0,30.0,119.793,175.44,8.0,1.0,0.606,0.404,-13.28,0.121,0.606,2.13e-06,0.124,0.788,True,1968
Flamingo Express,Believe in Me,The Royaltones,Bright Moments,N,4mcythZPK5tm8zRvz86Loe,2016-08-05,82.0,1961-01-11,1961,1960-1964,3.0,48.0,88.013,245.028,8.0,1.0,0.722,0.576,-12.231,0.0492,0.0161,0.00142,0.254,0.716,True,2016
Flamingo L'Amore,Flamingo L'amore,The Gaylords,The Gaylords Retrospective,N,3Wy87L4o1hmoTc2EeZpQG1,2021-05-28,98.0,1958-11-05,1958,1955-1959,1.0,0.0,102.966,116.663,0.0,1.0,0.543,0.257,-11.314,0.0311,0.811,0.0,0.128,0.467,True,2021
Fog Cutter,Fog Cutter,The Frantics,The Complete Dolton Recordings,N,0d6kBb2N7IWloiju11DrZY,2015-01-01,93.0,1959-09-09,1959,1955-1959,1.0,1.0,153.393,117.587,0.0,1.0,0.419,0.882,-7.483,0.0342,0.469,0.234,0.112,0.925,True,2015
Fool's Paradise,Fool's Paradise,The Crickets,The Complete Singles Collection,N,5xwh8z74AqLIT58eYKTAjx,2003-01-01,58.0,1958-01-01,1958,1955-1959,1.0,18.0,141.905,149.467,5.0,1.0,0.543,0.601,-10.032,0.0285,0.13,0.0,0.4,0.956,True,2003
Foolin' Around,Foolin' Around,Kay Starr,The Fabulous Favorites,N,7wAzqU8jYiqjLSvaTsfPxR,1964-06-01,49.0,1961-03-15,1961,1960-1964,9.0,3.0,173.477,140.733,3.0,1.0,0.516,0.447,-10.501,0.0578,0.974,0.0,0.305,0.839,True,1964
Fools Hall Of Fame,Fools Hall of Fame - Live,Pat Boone,Greatest Hits Live,N,5RLaugGtUgimPZjTfdpqDC,2019-06-07,29.0,1959-09-09,1959,1955-1959,9.0,1.0,66.956,145.112,6.0,1.0,0.461,0.144,-20.989,0.0358,0.98,0.963,0.639,0.475,True,2019
Fools Rush In (Where Angels Fear To Tread),Fools Rush In (Where Angels Fear To Tread) - Performed live on The Ed Sullivan Show 2/4/62,Brook Benton,Fools Rush In (Where Angels Fear To Tread) [Performed Live on The Ed Sullivan Show/1962],N,1F4CZdJ6BjZcD97ziw3h9I,2010-01-01,24.0,1960-11-09,1960,1960-1964,10.0,0.0,77.153,103.693,5.0,0.0,0.398,0.589,-10.297,0.0494,0.955,0.954,0.308,0.908,True,2010
Footsteps,Footsteps,Steve Lawrence,The Best Of,N,2z1mnBJRjXUpD2RFXRBm2p,1961-01-01,7.0,1960-03-02,1960,1960-1964,13.0,32.0,144.387,134.627,2.0,0.0,0.641,0.468,-12.33,0.034,0.419,0.0,0.317,0.913,True,1961
For A Penny,For A Penny,Pat Boone,Pat Boone's Golden Hits Featuring Speedy Gonzales,N,5vqp3YFIW5Y4GoqD2FYk6i,1962-08-01,23.0,1959-03-18,1959,1955-1959,11.0,1.0,184.529,139.253,11.0,1.0,0.22,0.338,-11.699,0.0335,0.878,0.000891,0.199,0.428,True,1962
For Love,Personality,Lloyd Price and His Orchestra,Mr. Personality,N,7JI1MoBWRQAZFTL5FxrQla,1959-01-01,43.0,1960-04-27,1960,1960-1964,6.0,47.0,129.182,155.213,5.0,1.0,0.604,0.313,-13.495,0.0375,0.801,0.0,0.342,0.86,True,1959
