title,artist,weeks,peak_rank,date,id,title_spotify,album,sp_popularity,colab,release_date,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,key,mode,tempo,duration
C'mon Everybody,Eddie Cochran,12.0,35.0,1958-11-19,7ItZM6DMZE2m1X7yIaRxjq,C’Mon Everybody,12 Of His Biggest Hits,57.0,N,1960-05-01,0.627,0.7,-9.657,0.0522,0.121,0.0111,0.188,0.856,3.0,1.0,175.33,118227.0
Calcutta,Lawrence Welk And His Orchestra,17.0,1.0,1961-02-01,1iXx0IlX5j33jyumZjBWU4,Calcutta - Remastered,My Best (Remastered),20.0,N,2019-02-08,0.482,0.681,-9.114,0.0263,0.588,0.683,0.405,0.963,0.0,1.0,81.997,132173.0
Calendar Girl,Neil Sedaka,15.0,4.0,1960-12-14,7Gpx2fNJiilvrf9Ss8qbit,Calendar Girl,Rock with Sedaka (Expanded Edition),58.0,N,1959-06-12,0.703,0.649,-7.727,0.0312,0.397,0.0,0.209,0.862,8.0,0.0,122.719,159693.0
California Sun,Joe Jones,3.0,89.0,1961-03-29,2MsRacjV4lNOfhPPpCuYc1,Rooftop Summer,"Deadstock, Vol. 4",36.0,N,2020-07-15,0.773,0.302,-7.353,0.0418,0.0218,0.00329,0.104,0.476,6.0,1.0,169.806,200533.0
Call Me,Johnny Mathis,15.0,21.0,1958-09-24,67j5dFhlLv10REcTogd17o,Call Me - Single Version,More: Johnny's Greatest Hits,9.0,N,1959-06-22,0.292,0.494,-9.896,0.0323,0.754,0.0,0.0969,0.397,5.0,1.0,86.859,167027.0
Can't Help Lovin' That Girl Of Mine,The Excels,1.0,100.0,1961-05-31,6b6IMqP565TbtFFZg9iFf3,"I Can't Help Myself (Sugar Pie, Honey Bunch)",Four Tops - Second Album,75.0,N,1965,0.667,0.599,-8.894,0.0291,0.245,0.0,0.107,0.971,0.0,1.0,127.935,160280.0
Canadian Sunset,Etta Jones,1.0,91.0,1961-03-08,7EKMfvkFVCaCPNDgeWZDm8,Canadian Sunset,Something Nice,33.0,N,1994-01-01,0.542,0.229,-13.322,0.0415,0.918,1.21e-06,0.0929,0.338,0.0,1.0,128.608,155307.0
Candy Apple Red,Bonnie Guitar,2.0,97.0,1959-12-09,0i5BCyu9VENjS4Z4ER9JJM,Candy Apple Red,Bonnie Guitar EP,14.0,N,1960,0.396,0.0534,-22.341,0.0311,0.959,0.669,0.107,0.373,9.0,1.0,62.926,144533.0
Candy Man,Roy Orbison,3.0,60.0,1961-07-19,3u0NZNpHdTzIv60QTT856y,Candy Man,The Monument Singles Collection,33.0,N,2011-04-25,0.639,0.451,-10.624,0.029,0.144,0.0025,0.066,0.827,7.0,1.0,79.207,163133.0
Candy Sweet,Pat Boone,3.0,72.0,1960-08-17,6N3CSxLlU65c67PxD4lnpS,Love Letters In The Sand,Pat's Great Hits (Expanded Edition),49.0,N,1957-09-01,0.548,0.258,-11.352,0.0281,0.831,0.0,0.117,0.491,3.0,1.0,88.805,135640.0
Cannonball,Duane Eddy His Twangy Guitar And The Rebels,12.0,15.0,1958-10-29,49pnPOIXktLEbyJmM5iMkf,Cannonball,Have 'Twangy' Guitar Will Travel,29.0,N,1958,0.549,0.842,-7.311,0.0376,4e-05,0.851,0.305,0.663,2.0,1.0,117.868,115720.0
Cap And Gown,Marty Robbins,6.0,45.0,1959-06-10,62qiyZxpfg6wEIV6S5PE9y,Doggone Cowboy,Return of the Gunfighter,58.0,N,1963-12-17,0.739,0.321,-13.229,0.0502,0.858,0.0,0.109,0.811,5.0,1.0,147.163,129973.0
Caravan,Santo & Johnny,8.0,48.0,1960-03-09,4ywZFpLcOvybhVeGasNY9C,Caravana,Nuestros Primeros 20 Éxitos,13.0,N,2001,0.659,0.861,-3.185,0.0289,0.0687,0.862,0.205,0.709,5.0,1.0,117.777,152640.0
Caribbean,Mitchell Torok,14.0,27.0,1959-07-29,51OPErNxOFv7Qv0LQKeQZ5,Caribbean,Caribbean,10.0,N,1960-01-01,0.726,0.867,-2.531,0.0303,0.78,8.02e-06,0.159,0.94,0.0,1.0,142.211,152693.0
Carol,Chuck Berry,10.0,18.0,1958-08-20,41ADUIxv4MkkWi7kgaZMrH,Carol,Berry Is On Top,43.0,N,1959-07-01,0.637,0.852,-10.752,0.036,0.869,0.000836,0.351,0.789,0.0,1.0,157.291,168600.0
Castin' My Spell,The Johnny Otis Show,5.0,52.0,1959-04-22,314daYWDtEZ9kFYY76PUn3,Castin' My Spell,The Capitol Years,30.0,Y,1989-01-01,0.881,0.9,-8.342,0.054,0.512,2.61e-05,0.234,0.929,8.0,0.0,103.502,131667.0
Cathy's Clown,The Everly Brothers,17.0,1.0,1960-04-13,1MA9StLzlFftLbuqOmoWij,Cathy's Clown,The Golden Hits of The Everly Brothers,43.0,N,1962-06-01,0.497,0.582,-8.961,0.0339,0.412,0.0,0.372,0.866,7.0,1.0,119.808,144013.0
Cerveza,Boots Brown And His Blockbusters,8.0,62.0,1961-02-01,4yJGljvcvDEp2cxWRHao6s,Cerveza,Take It Off: The Ultimate Burlesque Album,2.0,N,2017-06-09,0.588,0.885,-5.748,0.0461,0.628,0.942,0.063,0.932,5.0,1.0,81.534,126107.0
Chain Gang,Sam Cooke,16.0,2.0,1960-08-10,1sK10Me7qS9em2QTx6dYRe,Chain Gang,The Man Who Invented Soul,44.0,N,2000-09-26,0.698,0.661,-9.674,0.0416,0.636,0.0,0.228,0.824,7.0,1.0,131.808,160000.0
Chantilly Lace,Big Bopper,25.0,6.0,1958-01-01,07GtDOCxmye5KDWsTSACPk,Chantilly Lace,Chantilly Lace,55.0,N,1958-01-01,0.489,0.806,-6.054,0.0858,0.841,2.96e-05,0.0687,0.944,3.0,1.0,172.269,145267.0
Chapel Of Dreams,The Dubs,6.0,74.0,1959-08-19,2oaZcn6uAZgo3kNASLQfMB,Chapel of Dreams,Could This Be Magic: The Best of the Dubs,21.0,N,2023-05-12,0.526,0.505,-4.697,0.0272,0.4,0.0,0.0511,0.684,3.0,1.0,98.88,150160.0
Chariot Rock,The Champs,7.0,59.0,1958-08-06,6XryacCjlrgV6EXlQbEJRx,Chariot Rock,Greatest Hits / Tequila,10.0,N,1994-04-19,0.421,0.749,-10.836,0.0384,0.269,0.885,0.12,0.919,5.0,1.0,168.637,140533.0
Charlena,The Sevilles,5.0,84.0,1961-01-18,7vcJkzUTxuGvrs14PM6qSY,Charlena,Going Back: A Collection Of Rhythm & Blues,10.0,N,2000-01-01,0.727,0.714,-10.063,0.0314,0.172,0.0091,0.112,0.963,3.0,0.0,117.511,168533.0
Charlie Brown,The Coasters,15.0,2.0,1959-01-28,6XmMrl2iJhX1ytLrYEcrMu,Charlie Brown,The Coasters - 34 Massive Hits,21.0,N,1971,0.809,0.473,-10.995,0.221,0.571,0.000479,0.0742,0.895,10.0,1.0,130.49,141000.0
Chattanooga Choo Choo,Ernie Fields & Orch.,8.0,54.0,1960-02-24,30c5HuKfnUEsPRYPZUiMAL,Chattanooga Choo Choo,The Charleston,0.0,N,2010-09-20,0.605,0.659,-14.4,0.0393,0.641,0.909,0.0914,0.968,7.0,1.0,154.605,159507.0
Chattanooga Shoe Shine Boy,Freddy Cannon,7.0,34.0,1960-02-17,2Wg92bsfweigVksgH5FtkJ,Chattanooga Shoe Shine Boy,The Boston Cannon!,13.0,N,2020-11-27,0.486,0.709,-12.192,0.153,0.682,0.0,0.202,0.89,2.0,1.0,178.584,137134.0
Cherié,Bobby Rydell,4.0,54.0,1961-02-08,58r4JuwHhXLAkttkaUZfLw,Got to Be Real,Cheryl Lynn (Expanded Edition),66.0,N,1978-07-17,0.836,0.626,-10.143,0.0335,0.0943,0.742,0.153,0.898,9.0,0.0,114.657,307947.0
Cherry Berry Wine,Charlie Mccoy,1.0,99.0,1961-02-22,02CLQ2RBWstBSJ74Uxb0bb,Cherry Berry Wine,Cadence Classics,2.0,N,1997-09-22,0.627,0.615,-9.117,0.0401,0.197,0.0,0.108,0.87,4.0,1.0,123.897,163133.0
Cherry Pie,Skip And Flip,15.0,11.0,1960-03-30,3ManMR2GV4W6xD9KQnDZHe,Cherry Pie,Goodies Old Is New: Rare Singles From The Golden Age of Rock and Roll,16.0,N,2004-03-15,0.499,0.254,-16.861,0.0392,0.629,6.81e-06,0.0877,0.492,10.0,0.0,86.029,140382.0
Cherry Pink And Apple Blossom White,Jerry Murad's Harmonicats,8.0,56.0,1960-12-21,1nKE3P5qBsQDybiwps8X6N,Cherry Pink & Apple Blossom White,Cha Chas For Dancing,28.0,N,1960-02-14,0.614,0.576,-12.634,0.0516,0.864,0.464,0.298,0.875,1.0,0.0,124.709,163133.0
Cherrystone,Addrisi Brothers,6.0,62.0,1959-05-27,0KZfDnUWPFIHWUZwI1I9sR,Cherry Stone,Cherry Stone,42.0,N,2022-11-25,0.474,0.166,-17.394,0.037,0.879,0.681,0.15,0.12,2.0,0.0,102.225,203190.0
Child Of God,Bobby Darin,1.0,95.0,1960-12-21,6fVssKMWZYFbiGEB8fvXWJ,Child of God,The 25th Day of December with Bobby Darin,3.0,N,1960,0.643,0.525,-9.457,0.117,0.749,0.0,0.466,0.9,0.0,1.0,78.36,119867.0
Chills And Fever,Ronnie Love And His Orchestra,4.0,72.0,1961-01-04,0eBES3Zw0nYB9j16RQmm8S,Chills And Fever,It's Soultime! Rediscovered,9.0,N,2016-06-10,0.522,0.566,-9.901,0.0347,0.106,0.0,0.0684,0.719,9.0,0.0,141.913,148160.0
China Doll,The Ames Brothers,13.0,38.0,1960-01-27,7cy1bEJV6FCtDaYpsk8aG6,China Grove,The Captain and Me,64.0,N,1973,0.623,0.91,-8.448,0.0384,0.319,0.000448,0.081,0.745,9.0,1.0,145.624,195307.0
Chip Off The Old Block,Eddy Arnold,2.0,97.0,1959-03-04,1wK9cRMY8HBmRLiNm72MBG,It's a Sin,The Essential Eddy Arnold,48.0,N,1996-06-18,0.692,0.373,-12.201,0.027,0.909,4.43e-06,0.116,0.782,10.0,1.0,144.586,146080.0
Christmas Auld Lang Syne,Bobby Darin,3.0,51.0,1960-12-14,5UHxEcSaG7vwVOSZlM16Dc,Christmas Auld Lang Syne,Christmas Songs,6.0,N,2016-11-11,0.274,0.313,-11.828,0.0307,0.898,0.0,0.146,0.335,5.0,1.0,75.919,163293.0
"Ciao, Ciao Bambina",Jacky Noguez And His Musette Orchestra,12.0,24.0,1959-06-17,5BsXgBYNZ10GYS329ddatZ,"Ciao, Ciao Bambina (Piove)",The Lost Singles Collection - Instrumental Collection,1.0,N,2017-02-10,0.661,0.318,-13.567,0.0344,0.275,0.028,0.103,0.761,0.0,1.0,140.122,131880.0
Cimarron (Roll On),Billy Vaughn And His Orchestra,10.0,44.0,1958-10-15,3ZHrlFw8wU30OF3bVdHSaX,Cimarron,Billy Vaughn Plays,9.0,N,1958-01-01,0.396,0.379,-11.176,0.0318,0.613,0.0452,0.174,0.526,1.0,1.0,98.117,164333.0
Cinderella,The Four Preps,7.0,69.0,1958-11-12,2pgFEUd7qK8fVyASICkglU,Cinderella,"The Single Collection, Vol. 1",5.0,N,2007-11-27,0.671,0.644,-9.543,0.0362,0.16,4.21e-06,0.122,0.982,4.0,1.0,115.191,106733.0
City Lights,Ray Price,4.0,55.0,1959-02-25,62RfCZpT2zfBHRXD8yp2WV,City Lights,Greatest Hits,27.0,N,1956,0.326,0.495,-10.839,0.0386,0.891,0.0,0.241,0.723,10.0,1.0,109.915,178979.0
Clap Your Hands,The Beau-Marks,14.0,45.0,1960-05-11,5KaJHgTXG5GIkYB5Pjh1cf,Clap Your Hands,The Best of the Beau-Marks,13.0,N,2013-05-07,0.501,0.753,-7.349,0.0331,0.0381,0.0,0.185,0.927,6.0,1.0,123.713,120787.0
Clementine,Jan & Dean,9.0,21.0,1960-02-03,4OfYVPj7EbkV2mIW5HbJ6H,Clementine,Greatest Hits Vol 1. [Audiophile Edition],1.0,N,2023-09-09,0.45,0.917,-4.861,0.088,0.821,0.0,0.113,0.808,9.0,0.0,83.08,116933.0
Climb Ev'ry Mountain,Tony Bennett,5.0,74.0,1959-12-16,3zeTHjRg21dMPBzAUW3Vve,Climb Ev'ry Mountain,"Sunrise, Sunset",9.0,Y,1973,0.195,0.386,-9.87,0.0324,0.948,1.63e-05,0.541,0.146,9.0,1.0,85.056,137640.0
Close Together,Jimmy Reed,4.0,68.0,1961-01-25,6lY9BWuAs7clyMCFtVNXoZ,Close Together,Jimmy Reed Plays 12 String Guitar Blues,0.0,N,1963-01-01,0.755,0.532,-11.934,0.0341,0.499,0.832,0.0781,0.936,4.0,1.0,95.167,144234.0
Come Along,Maurice Williams & The Zodiacs,2.0,83.0,1961-04-05,6JTmMou1uaWE5j5nCymwB4,Come Along,Presenting Maurice Williams & The Zodiacs,15.0,N,1961-08-12,0.54,0.657,-8.231,0.0572,0.782,0.0,0.25,0.71,10.0,1.0,121.901,102653.0
Come Back,Jimmy Clanton,8.0,63.0,1960-08-17,7tUjU3BkY9JcApczsi93P4,Come Back,Go Jimmy Go - The Very Best of Jimmy Clanton,3.0,N,1997-01-01,0.366,0.299,-9.532,0.0264,0.598,2.66e-06,0.0509,0.288,0.0,1.0,103.379,172000.0
Come Closer To Me (Acercate Mas),Nat King Cole,9.0,41.0,1958-01-01,76AbCflWiJBgByIqFl396O,Acercate Mas (Come Closer To Me),Cole Espanol,33.0,N,1958-08-01,0.548,0.256,-14.527,0.0374,0.823,1.4e-05,0.101,0.548,3.0,1.0,100.805,168827.0
Come In Stranger,Johnny Cash And The Tennessee Two,1.0,87.0,1958-08-06,1nPYfGi4zkUaDIirBvFmG9,Come in Stranger,Sings Hank Williams,24.0,Y,1960-01-01,0.792,0.508,-9.88,0.0559,0.808,0.00019,0.089,0.906,6.0,1.0,83.242,99991.0
Come Into My Heart,Lloyd Price and His Orchestra,14.0,20.0,1959-10-21,2MfIhWJD9lTXKTolmYdXCP,Come Into My Heart,Lloyd Price Greatest Hits: The Original ABC-Paramount Recordings,9.0,N,1994-01-01,0.532,0.565,-6.942,0.0333,0.62,0.0,0.086,0.638,8.0,1.0,103.32,127067.0
Come On And Get Me,Fabian,8.0,29.0,1959-09-02,49PeQTl8U3U4EGHJbhnZGe,Come On And Get Me,Wally Zober Bronx 60's R&B Vol. 2,0.0,N,2023-06-13,0.436,0.816,-10.466,0.0304,0.623,0.0813,0.522,0.857,5.0,0.0,84.41,113667.0
Come On Over,The Strollers,2.0,91.0,1961-04-05,3QRM0qZB7oMYavveH0iEqx,Here Comes the Hotstepper - Heartical Mix,Here Comes The Hotstepper,68.0,Y,1994,0.889,0.453,-8.598,0.221,0.0141,0.000205,0.202,0.437,4.0,0.0,100.358,250467.0
"Come On, Let's Go",Ritchie Valens,13.0,42.0,1958-09-17,4cRfSR0QxDlXRHTKyEOu93,"Come On, Let's Go",Ritchie Valens,62.0,N,1959,0.616,0.724,-8.101,0.042,0.788,3.16e-06,0.128,0.809,9.0,1.0,81.402,124587.0
Come Prima,Tony Dallara,7.0,60.0,1958-12-03,2wud13eK0j09mH4h6625g7,Come Prima,L'incredibile Tony Dallara,53.0,N,1956-02-09,0.461,0.317,-11.191,0.0365,0.791,0.0,0.0821,0.747,4.0,0.0,75.673,123809.0
Come Prima (Koma Preema),Polly Bergen,6.0,67.0,1958-12-10,0HC9cuWz83j6QBypwRXquP,Come Prima (For the First Time) (with Glenn Osser & His Orchestra) - Single Version,My Heart Sings (Expanded Edition),1.0,Y,1959-01-01,0.288,0.288,-15.295,0.0359,0.559,0.0,0.277,0.361,4.0,1.0,115.643,145867.0
Come Rain Or Come Shine,Ray Charles,2.0,83.0,1960-11-23,2htH7r8oqqEwp3BB6oh2cU,Come Rain or Come Shine,The Genius Of Ray Charles,54.0,N,1959,0.357,0.216,-12.833,0.0343,0.767,4.31e-06,0.531,0.283,3.0,1.0,119.57,222733.0
Come Softly To Me,The Fleetwoods,16.0,1.0,1959-03-18,603N4XGJUTbK760GLCvIIs,Come Softly To Me,Come Softly To Me: The Very Best Of The Fleetwoods,54.0,N,1993-01-01,0.601,0.095,-18.478,0.0374,0.93,0.000285,0.116,0.672,1.0,1.0,122.975,144933.0
Come To Me,Marv Johnson,15.0,30.0,1959-03-11,7DpfOkks38EfsrVcG9Zmhw,"Come Together (feat. Tim Bowman Jr., Joy Enriquez, Kirk Franklin, Kelontae Gavin, Fred Hammond, Heavenly Joy, Le'Andria Johnson, Lecrae, Mary Mary, Jac Ross, Marvin Sapp, Karen Clark Sheard, Kierra Sheard & Shelby 5)","Come Together (feat. Tim Bowman Jr., Joy Enriquez, Kirk Franklin, Kelontae Gavin, Fred Hammond, Heavenly Joy, Le'Andria Johnson, Lecrae, Mary Mary, Jac Ross, Marvin Sapp, Karen Clark Sheard, Kierra Sheard & Shelby 5)",34.0,Y,2020-04-24,0.466,0.806,-5.444,0.126,0.181,0.0,0.235,0.539,1.0,1.0,89.503,346097.0
Come What May,Clyde McPhatter,3.0,43.0,1958-01-01,18BLPLHPRpxcXUr7rxnHpn,Come What May,Deep Sea Ball - The Best Of Clyde McPhatter,2.0,N,1991,0.689,0.749,-8.983,0.166,0.844,0.0,0.097,0.959,0.0,0.0,93.71,101947.0
Comin' Down With Love,Mel Gadson,5.0,69.0,1960-05-25,4Cu9eIDavwgabGjIhiu5Be,Never Thought,Mel Bryant & the Mercy Makers,42.0,N,2020-07-10,0.46,0.396,-11.119,0.0643,0.678,4.94e-06,0.194,0.537,7.0,1.0,155.903,118812.0
CooCoo-U,The Kingston Trio,1.0,98.0,1959-12-09,7N41JrfqZDfNxoqRcgdeNi,Coo Coo-U - Remastered,The Capitol Collector's Series,7.0,N,1990-06-18,0.813,0.438,-19.542,0.142,0.906,1.96e-05,0.0959,0.551,7.0,0.0,99.047,139467.0
Cool Water,Jack Scott,3.0,85.0,1960-07-20,0OFX1hwVTJRLkpH0nDykat,Cool Water - Remastered,Capitol Collectors Series,20.0,Y,2011-01-01,0.662,0.416,-14.374,0.0357,0.816,0.000194,0.0951,0.806,7.0,1.0,129.141,150707.0
Coquette,Fats Domino,1.0,92.0,1958-11-12,3wVRC7XGgay0BoYiDsA5KP,Coquette,The Complete Imperial Singles,23.0,N,2017-04-28,0.435,0.526,-5.748,0.0254,0.805,0.0,0.264,0.686,0.0,1.0,85.705,149038.0
"Corinna, Corinna",Ray Peterson,15.0,9.0,1960-11-16,7LaCTjMLXG03oWhl6Va3PZ,"Corinna, Corinna",Presenting Ray Peterson,30.0,N,1958-11-26,0.481,0.413,-8.688,0.0326,0.798,1.61e-05,0.0817,0.681,9.0,1.0,127.591,162160.0
Count Every Star,The Rivieras,10.0,35.0,1961-04-26,0lDaLquROBu6XlWB9g7BP7,Count Every Star,Moonlight Cocktails,4.0,N,1992,0.473,0.305,-15.998,0.0291,0.873,0.0,0.364,0.493,3.0,0.0,98.374,175173.0
Country Boy,Fats Domino,10.0,25.0,1960-01-27,1IGoRsucAbrQY7lrjoq18U,Country Boy,Legends Of Rock n' Roll,27.0,N,1962-01-01,0.407,0.775,-10.585,0.169,0.493,2.66e-05,0.0917,0.873,3.0,1.0,206.76,139093.0
Cowboy Jimmy Joe (Die Sterne Der Prarie),Lolita,3.0,94.0,1961-02-01,4Cn1pNLAXRT9CQxctRYEMx,Stars Of The Midnight Range,Country and Western,47.0,N,1997-01-15,0.505,0.202,-11.353,0.027,0.864,0.056,0.132,0.348,3.0,1.0,107.899,173000.0
Crackin Up,Bo Diddley,5.0,62.0,1959-07-01,7hajZgAZPUxRu6YwuyODI8,Crackin' Up,Go Bo Diddley,24.0,N,1959-07-01,0.726,0.47,-12.762,0.0342,0.747,0.00954,0.107,0.942,4.0,1.0,123.787,123133.0
Cradle Of Love,Johnny Preston,15.0,7.0,1960-03-23,6hHTKiIdjR9b7fUfZEHedZ,Cradle of Love,ROCK,29.0,N,1960-12-03,0.45,0.592,-6.74,0.076,0.272,0.0181,0.0852,0.796,6.0,0.0,173.986,140173.0
Crazy Arms,Bob Beckham,13.0,36.0,1959-12-30,20RAYcU9jdYqb97atyYgYM,Crazy Arms (In the Style of Bob Beckham) [Karaoke Version],Crazy Arms (In the Style of Bob Beckham) [Karaoke Version],0.0,N,2012-05-01,0.735,0.27,-18.378,0.046,0.368,0.3,0.0936,0.964,7.0,1.0,124.905,145012.0
Crazy Country Hop,Johnny Otis,4.0,87.0,1958-11-05,3ckKoeMeBQNuV5HjVZplD0,Crazy Country Hop,The Capitol Years,5.0,N,1989-01-01,0.788,0.785,-9.406,0.0491,0.337,4.95e-05,0.35,0.605,5.0,1.0,109.113,162627.0
Crazy Eyes For You,Bobby Hamilton,3.0,40.0,1958-01-01,6zH4F42t7jlPsRGcxGbK9a,Crazy Eyes for You - Hi-Fi Remastered,Crazy Eyes for You (Hi-Fi Remastered),15.0,N,1958,0.629,0.838,-5.326,0.0315,0.206,0.0153,0.143,0.962,7.0,1.0,120.579,140822.0
Crossfire,Johnny And The Hurricanes,14.0,23.0,1959-04-22,4MUq5xEYZoUwfzWUOiIMfP,Crossfire,Pop Megahits Of The 1950's Vol. 1,16.0,N,2005,0.64,0.446,-13.579,0.0386,0.0328,0.635,0.121,0.579,0.0,1.0,119.301,128613.0
Cry,The Knightsbridge Strings,7.0,53.0,1959-07-15,0iOqgCC8ZufIpRqIRIb9kM,Roses,MSQ Performs The Chainsmokers,34.0,N,2016-11-18,0.457,0.116,-17.051,0.0395,0.945,0.7,0.0893,0.345,4.0,1.0,179.81,189775.0
Cry Cry Cry,Bobby Bland,5.0,71.0,1960-11-02,2hP6oI5fZAta0kj8nYn5CK,"Cry, Cry, Cry","I Pity The Fool: The Duke Recordings, Vol. One",21.0,N,1992-12-22,0.559,0.283,-12.598,0.0402,0.305,1.73e-05,0.6,0.242,5.0,1.0,109.442,160640.0
Cry Me A River,Janice Harper,3.0,91.0,1960-01-13,7f6AAixCrVar1ZY7RPHDfM,Cry Me A River,Julie Is Her Name,58.0,N,1955-12-01,0.496,0.0688,-14.927,0.0545,0.964,0.00229,0.112,0.161,4.0,0.0,119.898,178573.0
Crying,Roy Orbison,2.0,49.0,1961-07-19,1hmgNEcsynNHU1AN9MTxgp,Crying,The Essential Roy Orbison,38.0,N,2006-03-28,0.354,0.3,-9.409,0.026,0.76,1.99e-05,0.11,0.171,2.0,1.0,96.692,166467.0
Cupid,Sam Cooke,12.0,27.0,1961-05-31,5Iev69m1Jnf7oc79VvPjpd,Cupid,The Best of Sam Cooke,50.0,N,1962,0.485,0.433,-10.503,0.0342,0.476,0.0,0.0861,0.825,7.0,1.0,120.471,158014.0
Daddy's Home,Shep And The Limelites,14.0,2.0,1961-03-22,6gbJvosUGV5j8WBwZVCIB9,Daddy's Home,Our Anniversary,37.0,N,2024-08-02,0.507,0.113,-13.893,0.0356,0.943,2.72e-05,0.134,0.259,5.0,1.0,146.525,174243.0
Dance By The Light Of The Moon,The Olympics,11.0,47.0,1960-11-30,5qKgJo05toXkyhgWFfW8BG,Dance by the Light of the Moon,Dance by the Light of the Moon / Dodge City,13.0,N,1960-07-03,0.578,0.864,-8.447,0.0448,0.0957,0.0,0.237,0.961,2.0,1.0,83.183,135984.0
Dance Everyone Dance,Betty Madigan,9.0,34.0,1958-08-13,2tkBw0h4j2H0czTykwtZic,"Dance, Everyone, Dance!",Vocal & Jazz Classics,1.0,N,2011-10-01,0.752,0.613,-9.223,0.039,0.208,0.0,0.409,0.922,5.0,1.0,130.679,144493.0
Dance On Little Girl,Paul Anka,8.0,10.0,1961-05-24,7hicCfvTRlRjkrHYim5Gp4,Dance On Little Girl,Put Your Head On My Shoulder: The Very Best Of Paul Anka,32.0,N,2000-10-03,0.584,0.489,-10.49,0.03,0.427,0.0,0.156,0.896,8.0,1.0,132.891,113107.0
Dance With Me,The Drifters,15.0,15.0,1959-10-07,3W0sGNPnUe5SVftz1YMQC3,Dance with Me,The Drifters: Essentials,28.0,N,2002-07-01,0.426,0.44,-8.119,0.0296,0.355,0.0,0.154,0.537,5.0,1.0,131.336,145547.0
Dance With Me Georgie,The Bobbettes,1.0,95.0,1960-10-19,3D0fUBloGwPcLGLyheGWXu,Dance with Me,The Essentials: Orleans,64.0,N,2003-01-14,0.565,0.392,-10.083,0.0268,0.551,0.000106,0.247,0.493,2.0,1.0,98.485,180480.0
Danny Boy,Sil Austin,18.0,10.0,1959-09-23,0QX5NebR6DbotLoU2IVTnI,Danny Boy,Honey Sax,9.0,N,1969-01-01,0.178,0.36,-12.701,0.0312,0.376,0.917,0.161,0.4,3.0,1.0,164.749,170979.0
Darling Lorraine,The Knockouts,11.0,46.0,1959-12-23,58rE0XBpWlcupuTU2nso8j,Darling Lorraine,Goodies Old Is New: Rare Singles From The Golden Age of Rock and Roll,21.0,N,2004-03-15,0.531,0.298,-12.216,0.0265,0.876,0.000447,0.139,0.539,11.0,1.0,107.521,121443.0
"Darling, I Love You",Al Martino,6.0,63.0,1959-09-23,0wirja9YVSzdXKUP6cZZk9,"My Darling, I Love You",We Could,24.0,N,1965-09-04,0.37,0.328,-12.869,0.0279,0.666,0.0649,0.125,0.246,0.0,1.0,87.582,180533.0
Daydreams,Johnny Crawford,4.0,70.0,1961-06-07,1vHK496r8mzXkvDiCeKw4m,Daydreams,The Captivatin Johnny Crawford,20.0,N,2006-01-24,0.727,0.352,-13.001,0.0289,0.899,0.0011,0.0839,0.695,6.0,1.0,110.151,126707.0
Dear John,Pat Boone,8.0,44.0,1960-10-19,6jIvrbydp7vgvJtc6Ynqhd,Dear John,Pat Boone's Golden Hits Featuring Speedy Gonzales,2.0,N,1962-08-01,0.605,0.233,-13.053,0.0327,0.712,0.0,0.114,0.447,3.0,1.0,101.46,171120.0
Deck Of Cards,Wink Martindale,17.0,7.0,1959-09-09,4U3S2BgQeX25uW0fEPDSSt,Deck Of Cards,"Winking At Life: God, Country, Mom & Apple Pie",18.0,N,2000-01-01,0.49,0.376,-16.06,0.618,0.871,4.1e-06,0.121,0.672,0.0,1.0,170.841,240880.0
Dedicated To The One I Love,The Shirelles,20.0,3.0,1959-07-08,4HdRMye6yPWOFrfLLM7W6b,Dedicated To The One I Love,Will You Still Love Me Tomorrow,46.0,N,2005,0.462,0.191,-11.901,0.0339,0.8,0.0,0.164,0.537,10.0,1.0,80.536,124187.0
Delaware,Perry Como,11.0,22.0,1960-02-03,3SxHxzAngJDKG8hCSqQcfg,Delaware,Today & Yesterday,18.0,N,1993-10-25,0.831,0.741,-14.312,0.0706,0.582,0.0,0.058,0.79,4.0,1.0,99.71,139400.0
Delia Gone,Pat Boone,3.0,66.0,1960-08-17,6N3CSxLlU65c67PxD4lnpS,Love Letters In The Sand,Pat's Great Hits (Expanded Edition),49.0,N,1957-09-01,0.548,0.258,-11.352,0.0281,0.831,0.0,0.117,0.491,3.0,1.0,88.805,135640.0
Delicious!,Jim Backus & Friend,2.0,66.0,1958-01-01,7c0ZUiqjVB8pMnRGUnVDF0,Delicious!,60 Songs from the Cramps' Crazy Collection,5.0,N,2015-05-18,0.633,0.625,-9.051,0.525,0.94,0.0129,0.591,0.548,9.0,0.0,126.34,184267.0
Devil Or Angel,Bobby Vee,19.0,6.0,1960-07-27,5JL4jmmogEql62ljHdlYP6,Devil Or Angel,Bobby Vee Sings Your Favorites,37.0,N,1960-01-01,0.389,0.266,-11.791,0.0346,0.9,0.0,0.11,0.615,5.0,1.0,102.833,141200.0
Devoted To You,The Everly Brothers,14.0,10.0,1958-08-06,4FrMb1ckGBrhARbHySQKx5,Devoted to You,The Very Best of The Everly Brothers,54.0,N,1964-08-01,0.587,0.34,-9.387,0.0256,0.834,0.0,0.0955,0.526,3.0,1.0,90.523,141040.0
